channel,text,url,label,label_name
sms,Your bank account is locked. Verify OTP and password here http://paypa1-secure-login.tk/update?session=4112,http://paypa1-secure-login.tk/update?session=4112,2,Phishing
email,"Hi, can you review the draft before 5pm? Link is on the intranet.",,0,Safe
email,URGENT: Your PayPal account will be SUSPENDED. Verify now: https://www.bankofamerica.com.secure-auth.ml/online Enter password and CVV. Kindly review.,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,"Hi team, the weekly status deck is in the shared drive. See you Thursday.",,0,Safe
url,,https://www.bbc.com/news,0,Safe
url,,https://stackoverflow.com/questions,0,Safe
url, Please ignore if already done.,http://accounts.google.com.user-check.tk/login,1,Suspicious
sms,Pak-Post: pay Rs 4106 customs. Enter CVV at http://paypa1-secure-login.tk/update?session=4106 or item returned.,http://paypa1-secure-login.tk/update?session=4106,2,Phishing
url,,https://www.amazon.com/gp/css/order-history,0,Safe
email,URGENT: Your PayPal account will be SUSPENDED. Verify now: https://appleid.apple.com.recover-account.gq/signin Enter password and CVV.,https://drive-share.top/view?id=5014,2,Phishing
url, Kindly review.,http://paypa1-secure-login.tk/update?session=4325,2,Phishing
email,Thanks for your payment. Receipt 1012 is attached for your records. Thread 17.,https://www.bbc.com/news,0,Safe
url,,https://netflix-billing-update.top/cvv,2,Phishing
email,"IT: password reset completed in the official portal. If this was not you, visit the help desk.",https://accounts.google.com/ServiceLogin,0,Safe
url, Sent from my phone.,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details http://paypa1-secure-login.tk/update?session=4205",http://bit.ly/acc-5159,2,Phishing
email,"We noticed a new device. If this was you, ignore this. Otherwise open the portal soon.",https://secure-login-update.xyz/account,1,Suspicious
url, Sent from my phone.,https://www.amazon.com/gp/css/order-history,0,Safe
email,DHL: customs fee unpaid. Click https://appleid.apple.com.recover-account.gq/signin and type card number plus CVV to release parcel.,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
email,Netflix billing failed. Update card immediately or service ends tonight: http://paypa1-secure-login.tk/update?session=4007,https://secure-login-update.xyz/account,2,Phishing
url, Kindly review.,http://bit.ly/acc-3318,1,Suspicious
chat,"Got it, thanks.",,0,Safe
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency.,http://bit.ly/pay-now-4215,2,Phishing
chat,Got a short link from a coworker. Opening later maybe.,,1,Suspicious
url,,https://www.wikipedia.org/wiki/Phishing,0,Safe
email,Welcome to the course portal. Your instructor posted the first assignment.,,0,Safe
url,,https://secure-login-update.xyz/account,1,Suspicious
email,Microsoft 365: mailbox full. Re-enter credentials here or mail will be deleted: http://microsoft-office365-login.xyz/secure@account,http://microsoft-office365-login.xyz/secure@account,2,Phishing
chat,Got a short link from a coworker. Opening later maybe.,,1,Suspicious
email,Netflix billing failed. Update card immediately or service ends tonight: http://microsoft-office365-login.xyz/secure@account,http://microsoft-office365-login.xyz/secure@account,2,Phishing
url, Thanks.,https://www.google.com/search?q=python+docs,0,Safe
url,,http://tinyurl.com/verify5897,2,Phishing
email,"You WON $1,000,000 in the international lottery. Pay a processing fee and send SSN to claim.",http://bit.ly/pay-now-4002,2,Phishing
email,Your parcel is delayed. Update delivery preferences using the link we sent separately.,https://appleid.support-help.work/recover,1,Suspicious
chat,"Got it, thanks.",,0,Safe
email,Unusual sign-in from another city. Review activity when you have time.,https://secure-login-update.xyz/account,1,Suspicious
url,,https://www.apple.com/shop,0,Safe
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
url,,https://www.apple.com/shop,0,Safe
url, Sent from my phone.,https://accounts.google.com/ServiceLogin,0,Safe
chat,"Got it, thanks.",,0,Safe
sms,Ride arriving in 4 min. Plate 2019K. Open the app for the live map.,,0,Safe
sms,Your mailbox is almost full. Clean it here: http://tinyurl.com/box3106,https://secure-login-update.xyz/account,1,Suspicious
sms,Your mailbox is almost full. Clean it here: http://tinyurl.com/box3102 Thanks.,https://drive-share.top/view?id=3102,1,Suspicious
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details https://netflix-billing-update.top/cvv",http://accounts.google.com.user-check.tk/login,2,Phishing
url,,https://secure-login-update.xyz/account,1,Suspicious
email,Your package from the bookstore was delivered today. Track it in your orders page.,,0,Safe
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details http://bit.ly/pay-now-4223",http://bit.ly/pay-now-4223,2,Phishing
sms,Your OTP for the bank app is 2018. Do not share it. It expires in 5 minutes. Kindly review.,,0,Safe
url,,http://bit.ly/acc-3324,1,Suspicious
url, Please ignore if already done.,http://192.168.14.22/paypal/login/verify,2,Phishing
url,,https://support.microsoft.com/en-us/account,0,Safe
sms,Class cancelled tomorrow. New slot posted on the LMS. Thread 32.,,0,Safe
url, Thread 58.,https://www.google.com/search?q=python+docs,0,Safe
url,,https://stackoverflow.com/questions,0,Safe
email,"IT: password reset completed in the official portal. If this was not you, visit the help desk.",,0,Safe
email,Apple ID locked after unusual activity. Confirm your password immediately at https://appleid.apple.com.recover-account.gq/signin,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
sms,Your mailbox is almost full. Clean it here: http://tinyurl.com/box3114,http://bit.ly/acc-3114,1,Suspicious
url,,https://appleid.support-help.work/recover,1,Suspicious
email,Netflix billing failed. Update card immediately or service ends tonight: https://www.bankofamerica.com.secure-auth.ml/online,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
chat,Got a short link from a coworker. Opening later maybe.,https://secure-login-update.xyz/account,1,Suspicious
url,,https://www.apple.com/shop,0,Safe
email,"You WON $1,000,000 in the international lottery. Pay a processing fee and send SSN to claim.",https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
url,,http://bit.ly/acc-3336,1,Suspicious
url,,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
chat,The wifi password is on the fridge as usual.,,0,Safe
url,,http://192.168.14.22/paypal/login/verify,2,Phishing
sms,Delivery attempt failed. Reply YES to reschedule. Thanks.,https://drive-share.top/view?id=3116,1,Suspicious
url,,http://bit.ly/acc-3300,1,Suspicious
url, Please ignore if already done.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url, Thanks.,https://www.wikipedia.org/wiki/Phishing,0,Safe
email,DHL: customs fee unpaid. Click http://bit.ly/pay-now-4055 and type card number plus CVV to release parcel. Kindly review.,http://bit.ly/pay-now-4055,2,Phishing
email,"Hi team, the weekly status deck is in the shared drive. See you Thursday. Kindly review.",,0,Safe
url, Kindly review.,https://accounts.google.com/ServiceLogin,0,Safe
email,Your package from the bookstore was delivered today. Track it in your orders page.,https://www.netflix.com/login,0,Safe
chat,IT support here. Share your email password so we can stop the hacker. Also open https://appleid.apple.com.recover-account.gq/signin,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
url, Thread 50.,https://support.microsoft.com/en-us/account,0,Safe
sms,Your bank account is locked. Verify OTP and password here http://microsoft-office365-login.xyz/secure@account Thanks.,http://microsoft-office365-login.xyz/secure@account,2,Phishing
email,"Hello customer, your invoice looks unpaid. Use this page to refresh the card on file: http://paypa1-secure-login.tk/update?session=4049",http://paypa1-secure-login.tk/update?session=4049,2,Phishing
url,,http://bit.ly/pay-now-4362,2,Phishing
sms,Pak-Post: pay Rs 4102 customs. Enter CVV at https://netflix-billing-update.top/cvv or item returned.,https://netflix-billing-update.top/cvv,2,Phishing
chat,Are we still on for lunch at 1?,,0,Safe
url,,https://www.amazon.com/gp/css/order-history,0,Safe
chat,Hey can you check this file for me? Looks official but I am not sure.,https://drive-share.top/view?id=3218,1,Suspicious
url,,http://bit.ly/pay-now-4354,2,Phishing
url,,https://netflix-billing-update.top/cvv,2,Phishing
sms,WhatsApp: account banned. Restore login http://paypa1-secure-login.tk/update?session=4103 immediately.,http://paypa1-secure-login.tk/update?session=4103,2,Phishing
chat,Hey can you check this file for me? Looks official but I am not sure. Thanks.,,1,Suspicious
email,"You WON $1,000,000 in the international lottery. Pay a processing fee and send SSN to claim.",http://bit.ly/pay-now-4012,2,Phishing
email,Reminder: office closed on Monday for the public holiday. Reply if you need anything. Kindly review.,,0,Safe
email,Netflix billing failed. Update card immediately or service ends tonight: http://login.amazon.com.customer-verify.click/account,http://login.amazon.com.customer-verify.click/account,2,Phishing
chat,The wifi password is on the fridge as usual.,,0,Safe
email,"Your bank detected a $9,400 transfer. Stop it by signing in at https://netflix-billing-update.top/cvv NOW!",https://netflix-billing-update.top/cvv,2,Phishing
url,,http://paypa1-secure-login.tk/update?session=4333,2,Phishing
chat,IT support here. Share your email password so we can stop the hacker. Also open http://microsoft-office365-login.xyz/secure@account,http://microsoft-office365-login.xyz/secure@account,2,Phishing
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
url, Thanks.,http://tinyurl.com/verify5851,2,Phishing
chat,IT support here. Share your email password so we can stop the hacker. Also open http://microsoft-office365-login.xyz/secure@account,https://appleid.support-help.work/recover,2,Phishing
email,Your subscription renewal for the news app succeeded. Next bill is next month.,,0,Safe
chat,Can you share the GitHub repo link when you have a second?,,0,Safe
email,IT: please re-authenticate this week. The old token may stop working.,https://appleid.support-help.work/recover,1,Suspicious
sms,WhatsApp: account banned. Restore login http://paypa1-secure-login.tk/update?session=4115 immediately.,http://paypa1-secure-login.tk/update?session=4115,2,Phishing
chat,IT support here. Share your email password so we can stop the hacker. Also open http://bit.ly/pay-now-4207,http://bit.ly/pay-now-4207,2,Phishing
url,,https://netflix-billing-update.top/cvv,2,Phishing
url,,https://netflix-billing-update.top/cvv,2,Phishing
url,,https://drive-share.top/view?id=3339,1,Suspicious
chat,Can you share the GitHub repo link when you have a second? Please ignore if already done.,,0,Safe
chat,Got a short link from a coworker. Opening later maybe.,,1,Suspicious
url,,https://drive-share.top/view?id=3333,1,Suspicious
email,Your parcel is delayed. Update delivery preferences using the link we sent separately. Verify only if you recognise this.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency.,https://netflix-billing-update.top/cvv,2,Phishing
url,,https://appleid.support-help.work/recover,1,Suspicious
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,Unusual sign-in from another city. Review activity when you have time.,http://tinyurl.com/verify3004,1,Suspicious
url,,https://github.com/login,0,Safe
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency. Please ignore if already done.,http://paypa1-secure-login.tk/update?session=4206,2,Phishing
chat,Hey can you check this file for me? Looks official but I am not sure.,https://appleid.support-help.work/recover,1,Suspicious
email,"Your bank detected a $9,400 transfer. Stop it by signing in at https://netflix-billing-update.top/cvv NOW!",https://netflix-billing-update.top/cvv,2,Phishing
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details http://paypa1-secure-login.tk/update?session=4217",http://paypa1-secure-login.tk/update?session=4217,2,Phishing
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
url, Kindly review.,https://appleid.support-help.work/recover,1,Suspicious
email,"Your bank detected a $9,400 transfer. Stop it by signing in at https://netflix-billing-update.top/cvv NOW!",https://netflix-billing-update.top/cvv,2,Phishing
email,"Hello customer, your invoice looks unpaid. Use this page to refresh the card on file: http://192.168.14.22/paypal/login/verify",http://192.168.14.22/paypal/login/verify,2,Phishing
chat,IT support here. Share your email password so we can stop the hacker. Also open http://paypa1-secure-login.tk/update?session=4213,http://paypa1-secure-login.tk/update?session=4213,2,Phishing
url,,https://www.google.com/search?q=python+docs,0,Safe
url,,https://github.com/login,0,Safe
url,,https://www.google.com/search?q=python+docs,0,Safe
url,,https://netflix-billing-update.top/cvv,2,Phishing
chat,Someone asked me to install a remote app. Does that sound right?,https://appleid.support-help.work/recover,1,Suspicious
chat,Are we still on for lunch at 1? Thanks.,,0,Safe
email,Unusual sign-in from another city. Review activity when you have time.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url,,http://accounts.google.com.user-check.tk/login,1,Suspicious
sms,You have a pending refund. Call this number when free. Sent from my phone.,http://bit.ly/acc-3117,1,Suspicious
email,Please verify your class attendance on the university LMS before Friday.,,0,Safe
email,IT: please re-authenticate this week. The old token may stop working.,https://appleid.support-help.work/recover,1,Suspicious
url,,https://accounts.google.com/ServiceLogin,0,Safe
email,Microsoft 365: mailbox full. Re-enter credentials here or mail will be deleted: https://appleid.apple.com.recover-account.gq/signin,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
chat,Got a short link from a coworker. Opening later maybe.,https://secure-login-update.xyz/account,1,Suspicious
url,,https://www.bbc.com/news,0,Safe
email,IT: please re-authenticate this week. The old token may stop working. Please ignore if already done.,http://bit.ly/acc-3023,1,Suspicious
email,URGENT: Your PayPal account will be SUSPENDED. Verify now: https://www.bankofamerica.com.secure-auth.ml/online Enter password and CVV. Thanks.,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
url,,https://www.wikipedia.org/wiki/Phishing,0,Safe
url,,https://appleid.support-help.work/recover,1,Suspicious
email,Apple ID locked after unusual activity. Confirm your password immediately at http://login.amazon.com.customer-verify.click/account,http://login.amazon.com.customer-verify.click/account,2,Phishing
url,,http://192.168.14.22/paypal/login/verify,2,Phishing
sms,Delivery attempt failed. Reply YES to reschedule.,https://secure-login-update.xyz/account,1,Suspicious
sms,Electricity bill auto-pay went through. Amount is the usual monthly charge.,,0,Safe
url, Kindly review.,https://www.google.com/search?q=python+docs,0,Safe
url,,https://secure-login-update.xyz/account,1,Suspicious
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
chat,IT support here. Share your email password so we can stop the hacker. Also open http://login.amazon.com.customer-verify.click/account,http://login.amazon.com.customer-verify.click/account,2,Phishing
sms,Delivery attempt failed. Reply YES to reschedule. Sent from my phone.,https://drive-share.top/view?id=3100,1,Suspicious
sms,Bank: confirm recent purchase of $3107 if you do not recognise it.,https://appleid.support-help.work/recover,1,Suspicious
email,"Tax refund pending. Submit bank account, PIN and OTP on http://bit.ly/pay-now-4014 within 24 hours.",http://bit.ly/pay-now-4014,2,Phishing
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details http://microsoft-office365-login.xyz/secure@account",http://tinyurl.com/verify5589,2,Phishing
url,,http://login.amazon.com.customer-verify.click/account,2,Phishing
url,,https://www.amazon.com/gp/css/order-history,0,Safe
url,,https://appleid.support-help.work/recover,1,Suspicious
email,Meeting notes from today are in the usual folder. No action needed tonight.,,0,Safe
email,Limited-time offer on cloud storage. Details on our partner page. Thread 70.,http://bit.ly/acc-3017,1,Suspicious
chat,The wifi password is on the fridge as usual.,,0,Safe
email,We updated our billing desk. Kindly sign in and confirm your card on https://netflix-billing-update.top/cvv when convenient.,https://netflix-billing-update.top/cvv,2,Phishing
url,,http://bit.ly/acc-3312,1,Suspicious
email,"We noticed a new device. If this was you, ignore this. Otherwise open the portal soon.",https://appleid.support-help.work/recover,1,Suspicious
email,Apple ID locked after unusual activity. Confirm your password immediately at http://login.amazon.com.customer-verify.click/account,http://accounts.google.com.user-check.tk/login,2,Phishing
chat,Got a short link from a coworker. Opening later maybe. Please ignore if already done.,https://appleid.support-help.work/recover,1,Suspicious
email,We updated our billing desk. Kindly sign in and confirm your card on http://192.168.14.22/paypal/login/verify when convenient.,http://192.168.14.22/paypal/login/verify,2,Phishing
sms,Mom: I am at the gate. Come down when you can.,,0,Safe
url, Sent from my phone.,https://appleid.support-help.work/recover,2,Phishing
email,Apple ID locked after unusual activity. Confirm your password immediately at https://appleid.apple.com.recover-account.gq/signin Kindly review.,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
email,DHL: customs fee unpaid. Click http://microsoft-office365-login.xyz/secure@account and type card number plus CVV to release parcel.,http://microsoft-office365-login.xyz/secure@account,2,Phishing
email,Welcome to the course portal. Your instructor posted the first assignment. Kindly review.,,0,Safe
sms,Electricity bill auto-pay went through. Amount is the usual monthly charge.,,0,Safe
url,,https://github.com/login,0,Safe
email,IT: please re-authenticate this week. The old token may stop working.,http://bit.ly/acc-3013,1,Suspicious
url,,http://accounts.google.com.user-check.tk/login,1,Suspicious
url,,https://drive-share.top/view?id=3327,1,Suspicious
sms,Pharmacy: your prescription is ready for pickup until 8pm. Thanks.,,0,Safe
url,,http://bit.ly/pay-now-4338,2,Phishing
url,,https://secure-login-update.xyz/account,1,Suspicious
chat,"Got it, thanks. Thanks.",,0,Safe
email,URGENT: Your PayPal account will be SUSPENDED. Verify now: https://appleid.apple.com.recover-account.gq/signin Enter password and CVV. Please ignore if already done.,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
chat,Can you share the GitHub repo link when you have a second?,,0,Safe
email,Welcome to the course portal. Your instructor posted the first assignment.,,0,Safe
url,,https://www.apple.com/shop,0,Safe
chat,Are we still on for lunch at 1?,,0,Safe
url, Sent from my phone.,https://stackoverflow.com/questions,0,Safe
url,,https://support.microsoft.com/en-us/account,0,Safe
sms,Ride arriving in 4 min. Plate 2007K. Open the app for the live map.,,0,Safe
url,,http://bit.ly/acc-3342,1,Suspicious
email,Your package from the bookstore was delivered today. Track it in your orders page. Thanks.,,0,Safe
url,,http://paypa1-secure-login.tk/update?session=4349,2,Phishing
email,"Tax refund pending. Submit bank account, PIN and OTP on http://microsoft-office365-login.xyz/secure@account within 24 hours.",http://microsoft-office365-login.xyz/secure@account,2,Phishing
url,,https://netflix-billing-update.top/cvv,2,Phishing
email,Limited-time offer on cloud storage. Details on our partner page.,http://bit.ly/acc-3002,1,Suspicious
chat,Sending the notes in a minute.,,0,Safe
chat,"Got it, thanks.",,0,Safe
url,,http://tinyurl.com/verify3302,1,Suspicious
url, Please ignore if already done.,https://github.com/login,0,Safe
email,Please verify your class attendance on the university LMS before Friday.,https://www.netflix.com/login,0,Safe
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency.,https://netflix-billing-update.top/cvv,2,Phishing
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
sms,You have a pending refund. Call this number when free. Sent from my phone. Verify only if you recognise this.,https://secure-login-update.xyz/account,1,Suspicious
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
url, Thread 96.,https://drive-share.top/view?id=3345,1,Suspicious
chat,Are we still on for lunch at 1?,,0,Safe
url,,https://github.com/login,0,Safe
sms,WhatsApp: account banned. Restore login http://microsoft-office365-login.xyz/secure@account immediately.,http://microsoft-office365-login.xyz/secure@account,2,Phishing
email,"IT: password reset completed in the official portal. If this was not you, visit the help desk.",https://github.com/login,0,Safe
chat,"CEO: wire $8,000 to this new vendor today. Do not tell finance. Details https://netflix-billing-update.top/cvv",https://drive-share.top/view?id=5613,2,Phishing
email,Netflix billing failed. Update card immediately or service ends tonight: http://paypa1-secure-login.tk/update?session=4047 Thanks.,http://bit.ly/acc-5487,2,Phishing
url, Kindly review.,http://bit.ly/pay-now-4346,2,Phishing
chat,Someone asked me to install a remote app. Does that sound right?,http://accounts.google.com.user-check.tk/login,1,Suspicious
chat,The wifi password is on the fridge as usual.,,0,Safe
email,"Your bank detected a $9,400 transfer. Stop it by signing in at http://microsoft-office365-login.xyz/secure@account NOW! Thread 89.",http://microsoft-office365-login.xyz/secure@account,2,Phishing
email,We updated our billing desk. Kindly sign in and confirm your card on https://www.bankofamerica.com.secure-auth.ml/online when convenient.,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,Your parcel is delayed. Update delivery preferences using the link we sent separately.,http://bit.ly/acc-3001,1,Suspicious
email,"Tax refund pending. Submit bank account, PIN and OTP on https://www.bankofamerica.com.secure-auth.ml/online within 24 hours.",https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
sms,Pharmacy: your prescription is ready for pickup until 8pm.,,0,Safe
url,,http://tinyurl.com/verify3308,1,Suspicious
chat,Are we still on for lunch at 1? Please ignore if already done.,,0,Safe
email,Meeting notes from today are in the usual folder. No action needed tonight.,,0,Safe
chat,Hey can you check this file for me? Looks official but I am not sure.,,1,Suspicious
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency.,http://microsoft-office365-login.xyz/secure@account,2,Phishing
email,Thanks for your payment. Receipt 1015 is attached for your records. Kindly review.,,0,Safe
chat,"Got it, thanks.",,0,Safe
email,Limited-time offer on cloud storage. Details on our partner page. Please ignore if already done. Verify only if you recognise this.,http://accounts.google.com.user-check.tk/login,1,Suspicious
sms,You have a pending refund. Call this number when free.,http://tinyurl.com/verify3113,1,Suspicious
email,"IT: password reset completed in the official portal. If this was not you, visit the help desk.",,0,Safe
email,Welcome to the course portal. Your instructor posted the first assignment.,https://stackoverflow.com/questions,0,Safe
url,,https://www.netflix.com/login,0,Safe
chat,Someone asked me to install a remote app. Does that sound right?,,1,Suspicious
email,DHL: customs fee unpaid. Click https://appleid.apple.com.recover-account.gq/signin and type card number plus CVV to release parcel.,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
url,,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
sms,WhatsApp: account banned. Restore login https://appleid.apple.com.recover-account.gq/signin immediately.,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
email,"We noticed a new device. If this was you, ignore this. Otherwise open the portal soon.",https://drive-share.top/view?id=3015,1,Suspicious
chat,Hey can you check this file for me? Looks official but I am not sure. Thread 89.,https://drive-share.top/view?id=3209,1,Suspicious
chat,Sending the notes in a minute. Sent from my phone.,https://support.microsoft.com/en-us/account,0,Safe
chat,Hey can you check this file for me? Looks official but I am not sure. Thread 51.,,1,Suspicious
chat,Someone asked me to install a remote app. Does that sound right?,https://drive-share.top/view?id=3210,1,Suspicious
url, Thanks.,https://www.wikipedia.org/wiki/Phishing,0,Safe
url,,https://www.bbc.com/news,0,Safe
email,IT: please re-authenticate this week. The old token may stop working.,https://appleid.support-help.work/recover,1,Suspicious
url, Please ignore if already done.,https://secure-login-update.xyz/account,1,Suspicious
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,"We noticed a new device. If this was you, ignore this. Otherwise open the portal soon.",https://appleid.support-help.work/recover,1,Suspicious
email,Microsoft 365: mailbox full. Re-enter credentials here or mail will be deleted: https://www.bankofamerica.com.secure-auth.ml/online,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,"Tax refund pending. Submit bank account, PIN and OTP on http://login.amazon.com.customer-verify.click/account within 24 hours.",https://secure-login-update.xyz/account,2,Phishing
chat,Can you share the GitHub repo link when you have a second?,,0,Safe
chat,Got a short link from a coworker. Opening later maybe.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url, Please ignore if already done.,http://192.168.14.22/paypal/login/verify,2,Phishing
sms,Bank: confirm recent purchase of $3123 if you do not recognise it. Verify only if you recognise this.,https://appleid.support-help.work/recover,1,Suspicious
url,,http://login.amazon.com.customer-verify.click/account,2,Phishing
url, Thread 23.,https://www.wikipedia.org/wiki/Phishing,0,Safe
url,,https://appleid.support-help.work/recover,1,Suspicious
email,Microsoft 365: mailbox full. Re-enter credentials here or mail will be deleted: http://login.amazon.com.customer-verify.click/account Please ignore if already done.,http://login.amazon.com.customer-verify.click/account,2,Phishing
url,,http://paypa1-secure-login.tk/update?session=4317,2,Phishing
url,,http://bit.ly/acc-3306,1,Suspicious
sms,WhatsApp: account banned. Restore login http://login.amazon.com.customer-verify.click/account immediately.,http://bit.ly/acc-5095,2,Phishing
email,Microsoft 365: mailbox full. Re-enter credentials here or mail will be deleted: https://appleid.apple.com.recover-account.gq/signin,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
url, Thanks.,http://192.168.14.22/paypal/login/verify,2,Phishing
chat,Someone asked me to install a remote app. Does that sound right?,,1,Suspicious
sms,Your mailbox is almost full. Clean it here: http://tinyurl.com/box3110 Verify only if you recognise this.,http://tinyurl.com/verify3110,1,Suspicious
url,,http://login.amazon.com.customer-verify.click/account,2,Phishing
email,Unusual sign-in from another city. Review activity when you have time.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url,,https://netflix-billing-update.top/cvv,2,Phishing
url,,https://www.bankofamerica.com.secure-auth.ml/online,2,Phishing
email,"We noticed a new device. If this was you, ignore this. Otherwise open the portal soon. Kindly review.",https://secure-login-update.xyz/account,1,Suspicious
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency.,https://drive-share.top/view?id=5113,2,Phishing
url,,http://login.amazon.com.customer-verify.click/account,2,Phishing
url,,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
chat,Can you share the GitHub repo link when you have a second? Thanks.,,0,Safe
email,"Tax refund pending. Submit bank account, PIN and OTP on http://bit.ly/pay-now-4024 within 24 hours.",http://bit.ly/pay-now-4024,2,Phishing
email,We updated our billing desk. Kindly sign in and confirm your card on https://netflix-billing-update.top/cvv when convenient.,https://netflix-billing-update.top/cvv,2,Phishing
chat,Hey can you check this file for me? Looks official but I am not sure.,,1,Suspicious
email,"Hello customer, your invoice looks unpaid. Use this page to refresh the card on file: http://bit.ly/pay-now-4059",http://bit.ly/pay-now-4059,2,Phishing
sms,You have a pending refund. Call this number when free.,http://tinyurl.com/verify3109,1,Suspicious
